"","DAY","MONTH","YEAR","HOUR","MINUTE","Date","Time","LATITUDE.x","LONGITUDE.x","Type","Depth","Depth.Error","Depth.Seismic.Stations","Magnitude","Magnitude.Type","Magnitude.Error","Magnitude.Seismic.Stations","Azimuthal.Gap","Horizontal.Distance","Horizontal.Error","Root.Mean.Square","ID","Source","Location.Source","Magnitude.Source","Status","I_D","FLAG_TSUNAMI","SECOND","FOCAL_DEPTH","EQ_PRIMARY","EQ_MAG_MW","EQ_MAG_MS","EQ_MAG_MB","EQ_MAG_ML","EQ_MAG_MFA","EQ_MAG_UNK","INTENSITY","COUNTRY","STATE","LOCATION_NAME","LATITUDE.y","LONGITUDE.y","REGION_CODE","DEATHS","DEATHS_DESCRIPTION","MISSING","MISSING_DESCRIPTION","INJURIES","INJURIES_DESCRIPTION","DAMAGE_MILLIONS_DOLLARS","DAMAGE_DESCRIPTION","HOUSES_DESTROYED","HOUSES_DESTROYED_DESCRIPTION","HOUSES_DAMAGED","HOUSES_DAMAGED_DESCRIPTION","TOTAL_DEATHS","TOTAL_DEATHS_DESCRIPTION","TOTAL_MISSING","TOTAL_MISSING_DESCRIPTION","TOTAL_INJURIES","TOTAL_INJURIES_DESCRIPTION","TOTAL_DAMAGE_MILLIONS_DOLLARS","TOTAL_DAMAGE_DESCRIPTION","TOTAL_HOUSES_DESTROYED","TOTAL_HOUSES_DESTROYED_DESCRIPTION","TOTAL_HOUSES_DAMAGED","TOTAL_HOUSES_DAMAGED_DESCRIPTION","diffLat","diffLong"
"1","1","1","1980","16","42","1/1/1980","16:42:40",38.815,-27.78,"Earthquake",10,NA,NA,6.7,"MS",NA,NA,NA,NA,NA,NA,"USP00014TU","US","US","US","Reviewed",4868,"Tsu",40,10,6.7,NA,6.7,6,NA,NA,NA,8,"AZORES (PORTUGAL)","","AZORES:   TERCEIRA, ANGRA DO HEROISMO",38.815,-27.78,130,69,2,NA,NA,600,3,5,2,NA,NA,NA,NA,69,2,NA,NA,600,3,5,2,NA,NA,NA,NA,0,0
"2","1","1","1996","8","5","1/1/1996","8:05:11",0.729,119.931,"Earthquake",24,NA,NA,7.9,"MW",NA,NA,NA,NA,NA,1.2,"USP00079ZV","US","US","HRV","Reviewed",5428,"Tsu",10.8,24,7.9,7.9,7.6,6.3,NA,NA,NA,6,"INDONESIA","","INDONESIA:  SULAWESI: MINAHASSA PENINSULA, TOLITOLI",0.729,119.931,170,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,9,1,NA,NA,63,2,1.2,2,400,3,NA,NA,0,0
"3","1","1","2001","6","57","1/1/2001","6:57:04",6.898,126.579,"Earthquake",33,NA,324,7.5,"MWC",NA,NA,NA,NA,NA,1.06,"USP000A70H","US","US","HRV","Reviewed",8952,"",4.1,33,7.5,7.5,7.2,6.4,NA,NA,NA,NA,"PHILIPPINES","","PHILIPPINES:  MINDANAO",6.898,126.579,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"4","1","1","2004","20","59","1/1/2004","20:59:32",-8.31,115.788,"Earthquake",44.5,5,119,5.8,"MWB",NA,NA,40,NA,NA,1.01,"USP000CGSS","US","US","US","Reviewed",5752,"",31.9,45,5.8,5.8,5.4,5.5,NA,NA,NA,6,"INDONESIA","","INDONESIA:  BALI, LOMBOK",-8.31,115.788,170,1,1,NA,NA,29,1,NA,4,6000,4,NA,NA,1,1,NA,NA,29,1,NA,4,6000,4,NA,NA,0,0
"5","1","1","2004","23","31","1/1/2004","23:31:50",17.488,-101.303,"Earthquake",29.4,NA,361,6.1,"MWC",NA,NA,74.1,NA,NA,0.97,"USP000CGT8","US","US","HRV","Reviewed",5753,"",50,29,6.1,6.1,5.7,5.6,NA,NA,NA,NA,"MEXICO","","MEXICO:  GUERRERO, MEXICO CITY",17.488,-101.303,150,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0
"6","1","1","2008","6","32","1/1/2008","6:32:28",40.288,72.985,"Earthquake",6,NA,489,5.6,"MWC",NA,NA,35.1,NA,NA,0.94,"USP000FVRZ","US","US","GCMT","Reviewed",7745,"",27.9,6,5.6,5.6,5.4,5.8,NA,NA,NA,NA,"KYRGYZSTAN","","KYRGYZSTAN:  OSH",40.288,72.985,40,NA,NA,NA,NA,NA,NA,NA,3,5385,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5385,4,NA,NA,0,0
"7","1","10","1969","5","5","10/1/1969","5:05:48",-11.841,-75.051,"Earthquake",10,NA,NA,6.6,"MW",NA,NA,NA,NA,NA,NA,"ISCGEM802947","ISCGEM","ISCGEM","ISCGEM","Automatic",4497,"",NA,43,6.2,NA,NA,NA,NA,NA,6.2,11,"PERU","","PERU:  HUAYTAPALLANA, LAMPA, CHILIFRUTA",-11.7,-75.1,160,150,3,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.141,0.0489999999999924
"8","1","10","1987","14","42","10/1/1987","14:42:20",34.061,-118.079,"Earthquake",8.881,0.023,0,5.9,"MW",NA,0,44.4,NA,NA,0.178,"CI731691","CI","CI","CI","Reviewed",5143,"",20,10,5.7,NA,5.7,5.8,5.9,NA,NA,8,"USA","CA","CALIFORNIA:  WHITTIER",34.061,-118.078,150,8,1,NA,NA,200,3,358,4,NA,NA,NA,NA,8,1,NA,NA,200,3,358,4,NA,NA,NA,NA,0,-0.000999999999990564
"9","1","10","1995","15","57","10/1/1995","15:57:16",38.063,30.134,"Earthquake",33,NA,NA,6.4,"MW",NA,NA,NA,NA,NA,1.1,"USP000749B","US","US","HRV","Reviewed",5419,"",16.2,33,6.4,6.4,6.2,5.8,NA,NA,NA,8,"TURKEY","","TURKEY:   DINAR, EVCILER",38.063,30.134,140,95,2,NA,NA,348,3,205.8,4,5100,4,NA,NA,95,2,NA,NA,348,3,205.8,4,5100,4,NA,NA,0,0
"10","1","10","2003","1","3","10/1/2003","1:03:25",50.211,87.721,"Earthquake",10,NA,643,6.7,"MWB",NA,NA,24.5,NA,NA,0.88,"USP000C96T","US","US","US","Reviewed",5728,"",25.2,10,6.7,6.7,7.1,6.3,NA,NA,NA,NA,"RUSSIA","","RUSSIA:  KOSH-AGACH, BARNAUL, GORNO-ALTAYSK",50.211,87.721,40,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,0
